datum,bodovi,link
"Vrijeme početka: subota, 17. listopada 2020. u 19,00","1. set: 25:12
     2. set: 25:15
     3. set: 25:15
     ukupno: 75:42",OK SPLIT – OK ZADAR
"Vrijeme početka: subota, 20. veljače 2021. u 17,00","1. set: 9:25
     2. set: 19:25
     3. set: 19:25
     ukupno: 47:75",MOK RIJEKA – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 3. listopada 2020. u 19,00","1. set: 16:25
     2. set: 23:25
     3. set: 21:25
     ukupno: 60:75",MOK MARSONIA – OKM CENTROMETAL
"Vrijeme početka: subota, 20. ožujka 2021. u 17,00","1. set: 16:25
     2. set: 23:25
     3. set: 14:25
     ukupno: 53:75",MOK RIJEKA – OK KITRO VARAŽDIN
"Vrijeme početka: subota, 23. siječnja 2021. u 19,00","1. set: 18:25
     2. set: 17:25
     3. set: 14:25
     ukupno: 49:75",MOK MARSONIA – MOK MURSA - OSIJEK
"Vrijeme početka: srijeda, 28. travnja 2021. u 16,00","1. set: 25:21
     2. set: 25:13
     3. set: 25:17
     ukupno: 75:51",HAOK MLADOST – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 12. prosinca 2020. u 18,30","1. set: 16:25
     2. set: 25:21
     3. set: 25:18
     4. set: 25:15
     ukupno: 91:79",MOK RIJEKA – OK ROVINJ
"Vrijeme početka: subota, 19. veljače 2022. u 17,30","1. set: 25:17
     2. set: 25:20
     3. set: 21:25
     4. set: 25:15
     ukupno: 96:77",OKM CENTROMETAL – OK SISAK
"Vrijeme početka: nedjelja, 13. veljače 2022. u 16,00","1. set: 15:25
     2. set: 20:25
     3. set: 16:25
     ukupno: 51:75",MOK RIJEKA – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 9. listopada 2021. u 14,00","1. set: 10:25
     2. set: 22:25
     3. set: 16:25
     ukupno: 48:75",OK GORICA – HAOK MLADOST
"Vrijeme početka: subota, 29. siječnja 2022. u 19,00","1. set: 25:22
     2. set: 25:16
     3. set: 18:25
     4. set: 17:25
     5. set: 8:15
     ukupno: 93:103",MOK MARSONIA – OKM CENTROMETAL
"Vrijeme početka: subota, 12. ožujka 2022. u 17,00","1. set: 25:22
     2. set: 25:15
     3. set: 25:22
     ukupno: 75:59",MOK RIJEKA – OK ROVINJ
"Vrijeme početka: subota, 6. studenog 2021. u 18,00","1. set: 25:15
     2. set: 25:23
     3. set: 25:15
     ukupno: 75:53",MOK MURSA - OSIJEK – OK GORICA
"Vrijeme početka: subota, 5. ožujka 2022. u 19,00","1. set: 19:25
     2. set: 25:18
     3. set: 20:25
     4. set: 19:25
     ukupno: 83:93",OK ROVINJ – OK SISAK
"Vrijeme početka: subota, 18. prosinca 2021. u 17,00","1. set: 25:23
     2. set: 25:27
     3. set: 20:25
     4. set: 16:25
     ukupno: 86:100",OK SISAK – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 12. veljače 2022. u 16,00","1. set: 15:25
     2. set: 19:25
     3. set: 23:25
     ukupno: 57:75",OK SPLIT – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 26. ožujka 2022. u 17,00","1. set: 15:25
     2. set: 25:19
     3. set: 22:25
     4. set: 17:25
     ukupno: 79:94",MOK RIJEKA – OK KITRO VARAŽDIN
"Vrijeme početka: nedjelja, 13. veljače 2022. u 16,00","1. set: 25:19
     2. set: 25:13
     3. set: 25:17
     ukupno: 75:49",OK KITRO VARAŽDIN  – OK ZADAR
"Vrijeme početka: petak, 29. listopada 2021. u 20,00","1. set: 25:18
     2. set: 25:15
     3. set: 25:15
     ukupno: 75:48",OKM CENTROMETAL – OK ROVINJ
"Vrijeme početka: subota, 5. ožujka 2022. u 18,00","1. set: 25:18
     2. set: 25:22
     3. set: 25:14
     ukupno: 75:54",OKM CENTROMETAL – OK SPLIT
"Vrijeme početka: subota, 23. listopada 2021. u 17,00","1. set: 22:25
     2. set: 22:25
     3. set: 25:20
     4. set: 18:25
     ukupno: 87:95",OK ZADAR – OK KITRO VARAŽDIN
"Vrijeme početka: subota, 27. studenog 2021. u 18,00","1. set: 16:25
     2. set: 23:25
     3. set: 20:25
     ukupno: 59:75",OK ROVINJ – MOK RIJEKA
"Vrijeme početka: nedjelja, 13. ožujka 2022. u 15,00","1. set: 25:17
     2. set: 25:17
     3. set: 26:24
     ukupno: 76:58",OK SPLIT – OK ZADAR
"Vrijeme početka: nedjelja, 13. veljače 2022. u 18,30","1. set: 19:25
     2. set: 12:25
     3. set: 16:25
     ukupno: 47:75",OK SISAK – OK RIBOLA KAŠTELA
"Vrijeme početka: subota, 4. prosinca 2021. u 16,00","1. set: 21:25
     2. set: 25:15
     3. set: 26:24
     4. set: 25:18
     ukupno: 97:82",OK SPLIT – OK ROVINJ
"Vrijeme početka: petak, 29. listopada 2021. u 18,00","1. set: 34:32
     2. set: 18:25
     3. set: 23:25
     4. set: 18:25
     ukupno: 93:107",MOK RIJEKA – OK RIBOLA KAŠTELA
"Vrijeme početka: četvrtak, 25. studenog 2021. u 20,00","1. set: 18:25
     2. set: 19:25
     3. set: 17:25
     ukupno: 54:75",OK KITRO VARAŽDIN  – HAOK MLADOST
"Vrijeme početka: nedjelja, 27. veljače 2022. u 15,00","1. set: 20:25
     2. set: 23:25
     3. set: 14:25
     ukupno: 57:75",OK SPLIT – OK RIBOLA KAŠTELA
"Vrijeme početka: petak, 17. prosinca 2021. u 19,00","1. set: 25:14
     2. set: 25:18
     3. set: 25:14
     ukupno: 75:46",HAOK MLADOST – MOK RIJEKA
"Vrijeme početka: subota, 22. siječnja 2022. u 17,00","1. set: 7:25
     2. set: 21:25
     3. set: 14:25
     ukupno: 42:75",OK GORICA – OK KITRO VARAŽDIN
"Vrijeme početka: srijeda, 27. travnja 2022. u 18,00","1. set: 25:22
     2. set: 19:25
     3. set: 18:25
     4. set: 21:25
     ukupno: 83:97",OK RIBOLA KAŠTELA – HAOK MLADOST
"Vrijeme početka: srijeda, 20. travnja 2022. u 19,00","1. set: 25:20
     2. set: 21:25
     3. set: 19:25
     4. set: 22:25
     ukupno: 87:95",MOK MURSA - OSIJEK – OK RIBOLA KAŠTELA
"Vrijeme početka: subota, 5. ožujka 2022. u 19,00","1. set: 15:25
     2. set: 20:25
     3. set: 14:25
     ukupno: 49:75",MOK MARSONIA – HAOK MLADOST
"Vrijeme početka: subota, 11. prosinca 2021. u 18,00","1. set: 24:26
     2. set: 25:18
     3. set: 23:25
     4. set: 25:23
     5. set: 15:13
     ukupno: 112:105",OK KITRO VARAŽDIN  – MOK RIJEKA
"Vrijeme početka: nedjelja, 12. prosinca 2021. u 16,00","1. set: 25:23
     2. set: 25:18
     3. set: 25:19
     ukupno: 75:60",OK ROVINJ – OK GORICA
"Vrijeme početka: petak, 25. veljače 2022. u 18,00","1. set: 25:15
     2. set: 25:23
     3. set: 25:16
     ukupno: 75:54",OK KITRO VARAŽDIN  – MOK MARSONIA
"Vrijeme početka: subota, 13. studenog 2021. u 18,00","1. set: 16:25
     2. set: 16:25
     3. set: 25:20
     4. set: 22:25
     ukupno: 79:95",OK KITRO VARAŽDIN  – MOK MURSA - OSIJEK
"Vrijeme početka: petak, 28. siječnja 2022. u 20,00","1. set: 16:25
     2. set: 15:25
     3. set: 23:25
     ukupno: 54:75",OK GORICA – OK SPLIT
"Vrijeme početka: subota, 23. listopada 2021. u 18,00","1. set: 25:14
     2. set: 25:18
     3. set: 25:21
     ukupno: 75:53",OK ROVINJ – MOK MARSONIA
"Vrijeme početka: subota, 16. travnja 2022. u 17,00","1. set: 9:25
     2. set: 22:25
     3. set: 21:25
     ukupno: 52:75",OK KITRO VARAŽDIN  – HAOK MLADOST
"Vrijeme početka: subota, 5. veljače 2022. u 17,00","1. set: 25:27
     2. set: 25:27
     3. set: 17:25
     ukupno: 67:79",OK RIBOLA KAŠTELA – HAOK MLADOST
"Vrijeme početka: subota, 27. studenog 2021. u 19,30","1. set: 25:20
     2. set: 21:25
     3. set: 21:25
     4. set: 23:25
     ukupno: 90:95",OK ZADAR – OK SPLIT
"Vrijeme početka: utorak, 29. ožujka 2022. u 18,30","1. set: 25:21
     2. set: 25:18
     3. set: 23:25
     4. set: 26:24
     ukupno: 99:88",MOK MARSONIA – OK GORICA
"Vrijeme početka: subota, 9. listopada 2021. u 19,00","1. set: 25:19
     2. set: 25:20
     3. set: 25:16
     ukupno: 75:55",OKM CENTROMETAL – MOK MARSONIA
"Vrijeme početka: subota, 12. veljače 2022. u 17,00","1. set: 25:18
     2. set: 25:20
     3. set: 25:18
     ukupno: 75:56",MOK RIJEKA – OK GORICA
"Vrijeme početka: subota, 19. ožujka 2022. u 19,00","1. set: 24:26
     2. set: 19:25
     3. set: 14:25
     ukupno: 57:76",OKM CENTROMETAL – OK RIBOLA KAŠTELA
"Vrijeme početka: subota, 2. listopada 2021. u 18,00","1. set: 25:14
     2. set: 25:21
     3. set: 25:12
     ukupno: 75:47",OK KITRO VARAŽDIN  – OK GORICA
"Vrijeme početka: subota, 5. ožujka 2022. u 20,00","1. set: 26:24
     2. set: 25:12
     3. set: 25:20
     ukupno: 76:56",MOK MURSA - OSIJEK – OK KITRO VARAŽDIN
"Vrijeme početka: srijeda, 13. travnja 2022. u 19,00","1. set: 25:22
     2. set: 25:22
     3. set: 25:22
     ukupno: 75:66",MOK MURSA - OSIJEK – OK RIBOLA KAŠTELA
"Vrijeme početka: subota, 19. ožujka 2022. u 16,45","1. set: 25:17
     2. set: 25:19
     3. set: 21:25
     4. set: 25:23
     ukupno: 96:84",OK ZADAR – OK GORICA
"Vrijeme početka: subota, 30. listopada 2021. u 20,00","1. set: 25:17
     2. set: 25:22
     3. set: 25:22
     ukupno: 75:61",OK SPLIT – OK GORICA
"Vrijeme početka: subota, 9. listopada 2021. u 17,00","1. set: 25:15
     2. set: 25:16
     3. set: 25:22
     ukupno: 75:53",OK SPLIT – OK SISAK
"Vrijeme početka: subota, 26. ožujka 2022. u 19,00","1. set: 16:25
     2. set: 27:25
     3. set: 12:25
     4. set: 10:25
     ukupno: 65:100",OK SISAK – HAOK MLADOST
"Vrijeme početka: četvrtak, 24. veljače 2022. u 18,00","1. set: 25:17
     2. set: 25:18
     3. set: 25:17
     ukupno: 75:52",OK SISAK – OK ZADAR
"Vrijeme početka: subota, 30. listopada 2021. u 16,00","1. set: 25:27
     2. set: 15:25
     3. set: 22:25
     ukupno: 62:77",OK SISAK – OKM CENTROMETAL
"Vrijeme početka: subota, 13. studenog 2021. u 19,00","1. set: 25:17
     2. set: 23:25
     3. set: 26:24
     4. set: 25:22
     ukupno: 99:88",OK SPLIT – OKM CENTROMETAL
"Vrijeme početka: petak, 3. prosinca 2021. u 19,30","1. set: 25:22
     2. set: 25:15
     3. set: 25:17
     ukupno: 75:54",OK RIBOLA KAŠTELA – OK ROVINJ
"Vrijeme početka: nedjelja, 3. listopada 2021. u 17,00","1. set: 16:25
     2. set: 14:25
     3. set: 11:25
     ukupno: 41:75",MOK MARSONIA – OK RIBOLA KAŠTELA
"Vrijeme početka: subota, 12. veljače 2022. u 19,00","1. set: 20:25
     2. set: 24:26
     3. set: 23:25
     ukupno: 67:76",MOK MARSONIA – OK ROVINJ
"Vrijeme početka: utorak, 29. ožujka 2022. u 19,15","1. set: 25:11
     2. set: 25:11
     3. set: 25:12
     ukupno: 75:34",OK KITRO VARAŽDIN  – OK SPLIT
"Vrijeme početka: subota, 5. ožujka 2022. u 18,30","1. set: 25:20
     2. set: 25:15
     3. set: 25:15
     ukupno: 75:50",OK RIBOLA KAŠTELA – OK GORICA
"Vrijeme početka: subota, 30. listopada 2021. u 20,00","1. set: 13:25
     2. set: 12:25
     3. set: 25:27
     ukupno: 50:77",MOK MARSONIA – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 4. prosinca 2021. u 18,00","1. set: 25:21
     2. set: 25:23
     3. set: 25:22
     ukupno: 75:66",HAOK MLADOST – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 27. studenog 2021. u 19,00","1. set: 22:25
     2. set: 27:25
     3. set: 17:25
     4. set: 25:20
     5. set: 14:16
     ukupno: 105:111",MOK MARSONIA – OK SISAK
"Vrijeme početka: nedjelja, 23. siječnja 2022. u 16,00","1. set: 25:12
     2. set: 25:18
     3. set: 25:15
     ukupno: 75:45",OK RIBOLA KAŠTELA – MOK MARSONIA
"Vrijeme početka: subota, 2. listopada 2021. u 17,00","1. set: 25:18
     2. set: 25:23
     3. set: 27:29
     4. set: 25:21
     ukupno: 102:91",OK SISAK – MOK RIJEKA
"Vrijeme početka: subota, 19. ožujka 2022. u 16,00","1. set: 25:15
     2. set: 19:25
     3. set: 22:25
     4. set: 26:24
     5. set: 6:15
     ukupno: 98:104",OK ROVINJ – OK SPLIT
"Vrijeme početka: subota, 19. veljače 2022. u 19,00","1. set: 25:18
     2. set: 23:25
     3. set: 21:25
     4. set: 25:14
     5. set: 15:10
     ukupno: 109:92",OK RIBOLA KAŠTELA – MOK RIJEKA
"Vrijeme početka: subota, 18. prosinca 2021. u 18,00","1. set: 25:13
     2. set: 25:21
     3. set: 25:14
     ukupno: 75:48",OKM CENTROMETAL – OK ZADAR
"Vrijeme početka: subota, 27. studenog 2021. u 19,30","1. set: 25:22
     2. set: 25:18
     3. set: 25:20
     ukupno: 75:60",OKM CENTROMETAL – OK GORICA
"Vrijeme početka: nedjelja, 13. veljače 2022. u 18,30","1. set: 20:25
     2. set: 23:25
     3. set: 19:25
     ukupno: 62:75",OKM CENTROMETAL – HAOK MLADOST
"Vrijeme početka: subota, 27. studenog 2021. u 18,00","1. set: 23:25
     2. set: 25:17
     3. set: 25:19
     4. set: 25:19
     ukupno: 98:80",MOK MURSA - OSIJEK – OK RIBOLA KAŠTELA
"Vrijeme početka: četvrtak, 7. listopada 2021. u 20,45","1. set: 16:25
     2. set: 10:25
     3. set: 18:25
     ukupno: 44:75",OK ZADAR – HAOK MLADOST
"Vrijeme početka: četvrtak, 17. veljače 2022. u 18,00","1. set: 25:14
     2. set: 25:17
     3. set: 25:15
     ukupno: 75:46",HAOK MLADOST – OK ZADAR
"Vrijeme početka: subota, 23. travnja 2022. u 18,00","1. set: 25:19
     2. set: 25:12
     3. set: 25:18
     ukupno: 75:49",HAOK MLADOST – OK RIBOLA KAŠTELA
"Vrijeme početka: subota, 11. prosinca 2021. u 17,00","1. set: 25:15
     2. set: 25:15
     3. set: 25:16
     ukupno: 75:46",HAOK MLADOST – OK SISAK
"Vrijeme početka: subota, 4. prosinca 2021. u 15,00","1. set: 23:25
     2. set: 22:25
     3. set: 22:25
     ukupno: 67:75",OK GORICA – OK ZADAR
"Vrijeme početka: subota, 5. ožujka 2022. u 19,00","1. set: 25:23
     2. set: 24:26
     3. set: 21:25
     4. set: 21:25
     ukupno: 91:99",OK ZADAR – MOK RIJEKA
"Vrijeme početka: subota, 19. veljače 2022. u 17,00","1. set: 25:18
     2. set: 25:12
     3. set: 25:13
     ukupno: 75:43",MOK MURSA - OSIJEK – MOK MARSONIA
"Vrijeme početka: nedjelja, 10. listopada 2021. u 14,30","1. set: 14:25
     2. set: 19:25
     3. set: 25:27
     ukupno: 58:77",OK ZADAR – OK ROVINJ
"Vrijeme početka: subota, 26. veljače 2022. u 18,00","1. set: 7:25
     2. set: 17:25
     3. set: 19:25
     ukupno: 43:75",OK GORICA – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 26. ožujka 2022. u 19,00","1. set: 19:25
     2. set: 22:25
     3. set: 16:25
     ukupno: 57:75",OKM CENTROMETAL – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 16. listopada 2021. u 17,00","1. set: 25:19
     2. set: 25:21
     3. set: 25:11
     ukupno: 75:51",HAOK MLADOST – OK RIBOLA KAŠTELA
"Vrijeme početka: srijeda, 23. ožujka 2022. u 17,00","1. set: 23:25
     2. set: 25:20
     3. set: 25:14
     4. set: 25:15
     ukupno: 98:74",HAOK MLADOST – OK KITRO VARAŽDIN
"Vrijeme početka: srijeda, 3. studenog 2021. u 19,00","1. set: 25:18
     2. set: 25:16
     3. set: 25:19
     ukupno: 75:53",HAOK MLADOST – OKM CENTROMETAL
"Vrijeme početka: nedjelja, 27. veljače 2022. u 14,00","1. set: 25:23
     2. set: 17:25
     3. set: 25:13
     4. set: 25:20
     ukupno: 92:81",MOK RIJEKA – OK SISAK
"Vrijeme početka: nedjelja, 17. listopada 2021. u 15,00","1. set: 15:25
     2. set: 15:25
     3. set: 10:25
     ukupno: 40:75",OK ROVINJ – MOK MURSA - OSIJEK
"Vrijeme pocetka: nedjelja, 6. ožujka 2022. u 17,00","1. set: 25:0
     2. set: 25:0
     3. set: 25:0
     ukupno: 75:0",OKM CENTROMETAL – OK ROVINJ
"Vrijeme početka: utorak, 29. ožujka 2022. u 18,30","1. set: 16:25
     2. set: 12:25
     3. set: 13:25
     ukupno: 41:75",MOK RIJEKA – HAOK MLADOST
"Vrijeme početka: subota, 12. ožujka 2022. u 14,30","1. set: 14:25
     2. set: 19:25
     3. set: 26:24
     4. set: 16:25
     ukupno: 75:99",OK GORICA – OKM CENTROMETAL
"Vrijeme početka: subota, 22. siječnja 2022. u 16,00","1. set: 15:25
     2. set: 12:25
     3. set: 19:25
     ukupno: 46:75",OK ZADAR – MOK MURSA - OSIJEK
"Vrijeme početka: utorak, 29. ožujka 2022. u 20,00","1. set: 16:25
     2. set: 19:25
     3. set: 24:26
     ukupno: 59:76",OK ZADAR – OKM CENTROMETAL
"Vrijeme početka: subota, 5. veljače 2022. u 17,00","1. set: 23:25
     2. set: 25:17
     3. set: 21:25
     4. set: 20:25
     ukupno: 89:92",OK ZADAR – MOK MARSONIA
"Vrijeme početka: subota, 19. veljače 2022. u 18,00","1. set: 19:25
     2. set: 19:25
     3. set: 19:25
     ukupno: 57:75",OK ROVINJ – OK KITRO VARAŽDIN
"Vrijeme početka: srijeda, 13. travnja 2022. u 17,00","1. set: 25:13
     2. set: 25:13
     3. set: 25:16
     ukupno: 75:42",HAOK MLADOST – OK KITRO VARAŽDIN
"Vrijeme početka: petak, 1. listopada 2021. u 19,00","1. set: 25:13
     2. set: 25:19
     3. set: 25:15
     ukupno: 75:47",MOK MARSONIA – OK ZADAR
"Vrijeme početka: subota, 12. ožujka 2022. u 16,00","1. set: 21:25
     2. set: 25:22
     3. set: 14:25
     4. set: 16:25
     ukupno: 76:97",OK RIBOLA KAŠTELA – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 16. travnja 2022. u 18,00","1. set: 22:25
     2. set: 21:25
     3. set: 25:18
     4. set: 25:19
     5. set: 17:15
     ukupno: 110:102",OK RIBOLA KAŠTELA – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 9. listopada 2021. u 18,30","1. set: 26:24
     2. set: 25:23
     3. set: 25:20
     ukupno: 76:67",OK RIBOLA KAŠTELA – OK KITRO VARAŽDIN
"Vrijeme početka: subota, 16. listopada 2021. u 17,00","1. set: 25:18
     2. set: 19:25
     3. set: 25:23
     4. set: 25:20
     ukupno: 94:86",OK KITRO VARAŽDIN  – OKM CENTROMETAL
"Vrijeme početka: subota, 18. prosinca 2021. u 15,00","1. set: 21:25
     2. set: 25:22
     3. set: 18:25
     4. set: 23:25
     ukupno: 87:97",OK GORICA – MOK MARSONIA
"Vrijeme početka: nedjelja, 14. studenog 2021. u 18,00","1. set: 25:11
     2. set: 25:15
     3. set: 25:14
     ukupno: 75:40",HAOK MLADOST – MOK MARSONIA
"Vrijeme početka: subota, 2. listopada 2021. u 17,00","1. set: 25:14
     2. set: 25:21
     3. set: 25:16
     ukupno: 75:51",HAOK MLADOST – OK SPLIT
"Vrijeme početka: subota, 23. listopada 2021. u 18,00","1. set: 25:22
     2. set: 25:15
     3. set: 25:19
     ukupno: 75:56",MOK MURSA - OSIJEK – OK SPLIT
"Vrijeme početka: subota, 13. studenog 2021. u 14,00","1. set: 14:25
     2. set: 11:25
     3. set: 16:25
     ukupno: 41:75",OK GORICA – OK RIBOLA KAŠTELA
"Vrijeme početka: subota, 6. studenog 2021. u 19,30","1. set: 24:26
     2. set: 25:12
     3. set: 25:11
     4. set: 25:18
     ukupno: 99:67",OK RIBOLA KAŠTELA – OK SPLIT
"Vrijeme početka: subota, 29. siječnja 2022. u 18,00","1. set: 25:20
     2. set: 18:25
     3. set: 23:25
     4. set: 25:23
     5. set: 12:15
     ukupno: 103:108",OK KITRO VARAŽDIN  – OK RIBOLA KAŠTELA
"Vrijeme početka: subota, 19. ožujka 2022. u 19,00","1. set: 25:23
     2. set: 16:25
     3. set: 13:25
     4. set: 18:25
     ukupno: 72:98",MOK MARSONIA – MOK RIJEKA
"Vrijeme početka: subota, 5. veljače 2022. u 17,00","1. set: 25:20
     2. set: 22:25
     3. set: 25:17
     4. set: 25:17
     ukupno: 97:79",OK SPLIT – MOK RIJEKA
"Vrijeme početka: subota, 12. ožujka 2022. u 18,30","1. set: 25:19
     2. set: 25:14
     3. set: 25:15
     ukupno: 75:48",OK SISAK – MOK MARSONIA
"Vrijeme početka: utorak, 23. studenog 2021. u 18,00","1. set: 25:22
     2. set: 25:13
     3. set: 25:14
     ukupno: 75:49",MOK RIJEKA – OK ZADAR
"Vrijeme početka: četvrtak, 24. ožujka 2022. u 20,00","1. set: 25:12
     2. set: 25:12
     3. set: 25:13
     ukupno: 75:37",OK RIBOLA KAŠTELA – OK ZADAR
"Vrijeme početka: srijeda, 1. prosinca 2021. u 18,00","1. set: 17:25
     2. set: 19:25
     3. set: 17:25
     ukupno: 53:75",MOK RIJEKA – OK SPLIT
"Vrijeme početka: subota, 4. prosinca 2021. u 17,00","1. set: 26:24
     2. set: 25:17
     3. set: 24:26
     4. set: 25:16
     ukupno: 100:83",MOK RIJEKA – MOK MARSONIA
"Vrijeme početka: subota, 5. veljače 2022. u 13,00","1. set: 25:13
     2. set: 14:25
     3. set: 19:25
     4. set: 28:26
     5. set: 13:15
     ukupno: 99:104",OK GORICA – OK SISAK
"Vrijeme početka: srijeda, 8. prosinca 2021. u 20,00","1. set: 25:22
     2. set: 18:25
     3. set: 25:10
     4. set: 22:25
     5. set: 15:7
     ukupno: 105:89",OK SISAK – OK ROVINJ
"Vrijeme početka: subota, 6. studenog 2021. u 18,00","1. set: 20:25
     2. set: 19:25
     3. set: 25:21
     4. set: 27:25
     5. set: 8:15
     ukupno: 99:111",OK ZADAR – OK SISAK
"Vrijeme početka: subota, 16. listopada 2021. u 17,00","1. set: 23:25
     2. set: 25:20
     3. set: 25:23
     4. set: 25:18
     ukupno: 98:86",OK SISAK – OK GORICA
"Vrijeme početka: subota, 26. veljače 2022. u 17,00","1. set: 22:25
     2. set: 25:23
     3. set: 25:15
     4. set: 13:25
     5. set: 15:10
     ukupno: 100:98",MOK RIJEKA – OKM CENTROMETAL
"Vrijeme početka: srijeda, 22. prosinca 2021. u 16,00","1. set: 25:23
     2. set: 25:19
     3. set: 25:15
     ukupno: 75:57",MOK MARSONIA – OK SPLIT
"Vrijeme početka: subota, 29. siječnja 2022. u 17,00","1. set: 25:16
     2. set: 25:13
     3. set: 25:8
     ukupno: 75:37",HAOK MLADOST – OK GORICA
"Vrijeme početka: nedjelja, 13. ožujka 2022. u 17,00","1. set: 23:25
     2. set: 26:24
     3. set: 17:25
     4. set: 22:25
     ukupno: 88:99",OKM CENTROMETAL – OK KITRO VARAŽDIN
"Vrijeme početka: srijeda, 15. prosinca 2021. u 18,00","1. set: 15:25
     2. set: 12:25
     3. set: 25:20
     4. set: 10:25
     ukupno: 62:95",OK ROVINJ – HAOK MLADOST
"Vrijeme početka: subota, 4. prosinca 2021. u 19,30","1. set: 11:25
     2. set: 20:25
     3. set: 21:25
     ukupno: 52:75",OK SISAK – OK KITRO VARAŽDIN
"Vrijeme početka: subota, 4. prosinca 2021. u 17,30","1. set: 26:28
     2. set: 25:17
     3. set: 25:23
     4. set: 28:30
     5. set: 11:15
     ukupno: 115:113",OK RIBOLA KAŠTELA – OKM CENTROMETAL
"Vrijeme početka: subota, 5. veljače 2022. u 18,00","1. set: 25:19
     2. set: 25:16
     3. set: 25:9
     ukupno: 75:44",MOK MURSA - OSIJEK – OK ROVINJ
"Vrijeme početka: subota, 6. studenog 2021. u 20,00","1. set: 25:23
     2. set: 27:25
     3. set: 19:25
     4. set: 13:25
     5. set: 15:13
     ukupno: 99:111",OKM CENTROMETAL – MOK RIJEKA
"Vrijeme početka: subota, 19. ožujka 2022. u 16,00","1. set: 25:13
     2. set: 25:15
     3. set: 25:22
     ukupno: 75:50",OK KITRO VARAŽDIN  – OK SISAK
"Vrijeme početka: subota, 11. prosinca 2021. u 19,30","1. set: 25:20
     2. set: 25:23
     3. set: 25:19
     ukupno: 75:62",MOK MURSA - OSIJEK – OKM CENTROMETAL
"Vrijeme početka: subota, 11. prosinca 2021. u 17,00","1. set: 11:25
     2. set: 18:25
     3. set: 21:25
     ukupno: 50:75",OK ZADAR – OK RIBOLA KAŠTELA
"Vrijeme početka: subota, 2. travnja 2022. u 17,00","1. set: 25:16
     2. set: 25:17
     3. set: 25:13
     ukupno: 75:46",MOK MURSA - OSIJEK – OK SISAK
"Vrijeme početka: srijeda, 16. ožujka 2022. u 20,00","1. set: 10:25
     2. set: 9:25
     3. set: 19:25
     ukupno: 38:75",OK SPLIT – HAOK MLADOST
"Vrijeme početka: nedjelja, 6. veljače 2022. u 15,00","1. set: 25:15
     2. set: 27:25
     3. set: 25:20
     ukupno: 77:60",OK SPLIT – MOK MARSONIA
"Vrijeme početka: utorak, 29. ožujka 2022. u 19,00","1. set: 10:25
     2. set: 19:25
     3. set: 16:25
     ukupno: 45:75",OK ROVINJ – OK RIBOLA KAŠTELA
"Vrijeme početka: subota, 2. listopada 2021. u 13,30","1. set: 25:7
     2. set: 25:13
     3. set: 25:17
     ukupno: 75:37",MOK MURSA - OSIJEK – OK ZADAR
"Vrijeme početka: subota, 30. listopada 2021. u 17,00","1. set: 25:17
     2. set: 25:23
     3. set: 25:7
     ukupno: 75:47",OK KITRO VARAŽDIN  – OK ROVINJ
"Vrijeme početka: nedjelja, 7. studenog 2021. u 17,30","1. set: 16:25
     2. set: 12:25
     3. set: 17:25
     ukupno: 45:75",MOK MARSONIA – OK KITRO VARAŽDIN
"Vrijeme početka: subota, 29. siječnja 2022. u 16,00","1. set: 25:20
     2. set: 22:25
     3. set: 21:25
     4. set: 23:25
     ukupno: 91:95",OK ROVINJ – OK ZADAR
"Vrijeme početka: subota, 23. listopada 2021. u 19,15","1. set: 25:19
     2. set: 25:16
     3. set: 25:19
     ukupno: 75:54",OK RIBOLA KAŠTELA – OK SISAK
"Vrijeme početka: subota, 26. veljače 2022. u 20,30","1. set: 25:15
     2. set: 25:14
     3. set: 25:13
     ukupno: 75:42",HAOK MLADOST – OK ROVINJ
"Vrijeme početka: subota, 19. ožujka 2022. u 18,00","1. set: 16:25
     2. set: 25:21
     3. set: 25:23
     4. set: 18:25
     5. set: 15:13
     ukupno: 99:107",MOK MURSA - OSIJEK – HAOK MLADOST
"Vrijeme početka: subota, 9. listopada 2021. u 17,00","1. set: 25:13
     2. set: 25:17
     3. set: 25:22
     ukupno: 75:52",MOK MURSA - OSIJEK – MOK RIJEKA
"Vrijeme početka: subota, 23. listopada 2021. u 13,30","1. set: 18:25
     2. set: 25:22
     3. set: 15:25
     4. set: 18:25
     ukupno: 76:97",OK GORICA – MOK RIJEKA
"Vrijeme početka: nedjelja, 6. ožujka 2022. u 19,00","1. set: 25:23
     2. set: 25:17
     3. set: 25:21
     ukupno: 75:61",OK SISAK – OK SPLIT
"Vrijeme početka: subota, 18. prosinca 2021. u 17,00","1. set: 25:21
     2. set: 25:17
     3. set: 25:16
     ukupno: 75:54",OK SPLIT – OK KITRO VARAŽDIN
